Interest Group,Year,State,Candidate,Election Outcome,Election Type,Party,Incumbent,Office,Contribution
EQUALITY NORTH CAROLINA,2006,NY,"PRETLOW, JAMES GARY (GARY)",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 087,500.00
EQUALITY NORTH CAROLINA,2006,NY,"ROSENTHAL, LINDA B",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 067,500.00
EQUALITY NORTH CAROLINA,2006,NY,"SAYWARD, TERESA R",Won-General,Standard,REPUBLICAN,Incumbent,ASSEMBLY DISTRICT 113,500.00
EQUALITY NORTH CAROLINA,2006,NY,"SWEENEY, ROBERT K",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 011,500.00
EQUALITY NORTH CAROLINA,2006,NY,"ZEBROWSKI JR, KENNETH P",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 094,500.00
EQUALITY NORTH CAROLINA,2006,NY,"LAVINE, CHARLES D",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 013,500.00
EQUALITY NORTH CAROLINA,2006,NY,"KAVANAGH, BRIAN P",Won-General,Standard,DEMOCRATIC,Challenger,ASSEMBLY DISTRICT 074,500.00
EQUALITY NORTH CAROLINA,2008,NY,"MAISEL, ALAN N",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 059,500.00
EQUALITY NORTH CAROLINA,2008,NY,"PRETLOW, JAMES GARY (GARY)",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 087,500.00
EQUALITY NORTH CAROLINA,2008,NY,"RAMOS, PHILIP R",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 006,500.00
EQUALITY NORTH CAROLINA,2008,NY,"SCHROEDER, MARK J",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 145,500.00
EQUALITY NORTH CAROLINA,2012,NY,"ADAMS, ERIC L",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 020,500.00
EQUALITY NORTH CAROLINA,2012,NY,"KLEIN, JEFFREY D",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 034,500.00
EQUALITY NORTH CAROLINA,2012,NY,"PARKER, KEVIN S",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 021,500.00
EQUALITY NORTH CAROLINA,2012,NY,"PERKINS, BILL",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 030,500.00
EQUALITY NORTH CAROLINA,2012,NY,"RIVERA, J GUSTAVO",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 033,500.00
EQUALITY NORTH CAROLINA,2012,NY,"BRESLIN, NEIL D",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 044,500.00
EQUALITY NORTH CAROLINA,2012,NY,"KRUEGER, LIZ",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 028,500.00
EQUALITY NORTH CAROLINA,2014,NY,"PERALTA, JOSE R",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 013,500.00
EQUALITY NORTH CAROLINA,2016,NY,"AVELLA, TONY",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 011,500.00
EQUALITY NORTH CAROLINA,2016,NY,"GIANARIS, MICHAEL N",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 012,500.00
EQUALITY NORTH CAROLINA,2016,NY,"STEWART-COUSINS, ANDREA",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 035,500.00
EQUALITY NORTH CAROLINA,2016,NY,"GOTTFRIED, RICHARD N",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 075,500.00
EQUALITY NORTH CAROLINA,2017,NY-NYC,"JOHNSON, COREY",Won-General,Standard,DEMOCRATIC,Incumbent,CITY COUNCIL DISTRICT 003,500.00
EQUALITY NORTH CAROLINA,2002,NY,"SANTIAGO, NELLIE R",Lost-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 017,450.00
EQUALITY NORTH CAROLINA,2014,NY,"PARKER, KEVIN S",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 021,400.00
EQUALITY NORTH CAROLINA,2016,NY,"BLAKE, MICHAEL A",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 079,350.00
EQUALITY NORTH CAROLINA,2002,NY,"ALBERT, JOHN P",Lost-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 022,250.00
EQUALITY NORTH CAROLINA,2000,NY,"GRAVELLE, DENNIS R",Lost-General,Standard,DEMOCRATIC,Challenger,ASSEMBLY DISTRICT 100,250.00
EQUALITY NORTH CAROLINA,2000,NY,"SALTZBERG, CHRISTINE W",Lost-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 136,250.00
EQUALITY NORTH CAROLINA,2000,NY,"SOLLAMI, JAMES A",Lost-General,Standard,DEMOCRATIC,Challenger,ASSEMBLY DISTRICT 094,250.00
EQUALITY NORTH CAROLINA,2002,NY,"BROOKS, M TRACEY",Lost-General,Standard,DEMOCRATIC,Challenger,ASSEMBLY DISTRICT 108,250.00
EQUALITY NORTH CAROLINA,2002,NY,"JAFFEE, ELLEN C",Lost-General,Standard,GREEN,Open,ASSEMBLY DISTRICT 095,250.00
EQUALITY NORTH CAROLINA,2002,NY,"KNIPEL, LORI CITRON",Lost-General,Standard,LIBERAL,Open,SENATE DISTRICT 021,250.00
EQUALITY NORTH CAROLINA,2002,NY,"SALTZBERG, CHRISTINE W",Lost-General,Standard,DEMOCRATIC,Challenger,ASSEMBLY DISTRICT 130,250.00
EQUALITY NORTH CAROLINA,2002,NY,"STAVISKY, TOBY ANN",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 016,250.00
EQUALITY NORTH CAROLINA,1998,NY,"BUTLER, DENIS J",Won-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 036,250.00
EQUALITY NORTH CAROLINA,2000,NY,"BRENNAN, JAMES F",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 044,250.00
EQUALITY NORTH CAROLINA,2000,NY,"CANESTRARI, RONALD J",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 106,250.00
EQUALITY NORTH CAROLINA,2000,NY,"COHEN, MICHAEL L",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 028,250.00
EQUALITY NORTH CAROLINA,2000,NY,"DINOWITZ, JEFFREY",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 081,250.00
EQUALITY NORTH CAROLINA,2000,NY,"GIANARIS, MICHAEL N",Won-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 036,250.00
EQUALITY NORTH CAROLINA,2000,NY,"GOTTFRIED, RICHARD N",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 064,250.00
EQUALITY NORTH CAROLINA,2000,NY,"GREEN, ROGER L",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 057,250.00
EQUALITY NORTH CAROLINA,2000,NY,"HEVESI, DANIEL R",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 013,250.00
EQUALITY NORTH CAROLINA,2000,NY,"HOYT, SAM",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 144,250.00
EQUALITY NORTH CAROLINA,2000,NY,"JOHN, SUSAN V",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 131,250.00
EQUALITY NORTH CAROLINA,2000,NY,"LAVELLE, JOHN W",Won-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 059,250.00
EQUALITY NORTH CAROLINA,2000,NY,"LUSTER, MARTIN A",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 125,250.00
EQUALITY NORTH CAROLINA,2000,NY,"MORELLE, JOSEPH D (JOE)",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 132,250.00
EQUALITY NORTH CAROLINA,2000,NY,"RAVITZ, JOHN",Won-General,Standard,REPUBLICAN,Incumbent,ASSEMBLY DISTRICT 073,250.00
EQUALITY NORTH CAROLINA,2000,NY,"SANDERS, STEVEN",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 063,250.00
EQUALITY NORTH CAROLINA,2000,NY,"SPANO, MICHAEL J",Won-General,Standard,REPUBLICAN,Incumbent,ASSEMBLY DISTRICT 087,250.00
EQUALITY NORTH CAROLINA,2000,NY,"STRINGER, SCOTT M",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 067,250.00
EQUALITY NORTH CAROLINA,2000,NY,"WEISENBERG, HARVEY",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 020,250.00
EQUALITY NORTH CAROLINA,2002,NY,"CHRISTENSEN, JOAN K",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 119,250.00
EQUALITY NORTH CAROLINA,2002,NY,"COHEN, ADELE H",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 046,250.00
EQUALITY NORTH CAROLINA,2002,NY,"MAGNARELLI, WILLIAM",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 120,250.00
EQUALITY NORTH CAROLINA,2002,NY,"PATERSON, DAVID A",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 030,250.00
EQUALITY NORTH CAROLINA,2002,NY,"PERALTA, JOSE R",Won-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 039,250.00
EQUALITY NORTH CAROLINA,2004,NY,"LUPARDO, DONNA A",Won-General,Standard,DEMOCRATIC,Challenger,ASSEMBLY DISTRICT 126,250.00
EQUALITY NORTH CAROLINA,2006,NY,"TOWNS, DARRYL C",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 054,250.00
EQUALITY NORTH CAROLINA,2008,NY,"DUPREY, JANET L",Won-General,Standard,REPUBLICAN,Incumbent,ASSEMBLY DISTRICT 114,250.00
EQUALITY NORTH CAROLINA,2012,NY,"AUBRY, JEFFRION",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 035,250.00
EQUALITY NORTH CAROLINA,2012,NY,"CAMARA, KARIM",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 043,250.00
EQUALITY NORTH CAROLINA,2012,NY,"DINOWITZ, JEFFREY",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 081,250.00
EQUALITY NORTH CAROLINA,2012,NY,"HEVESI, ANDREW D",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 028,250.00
EQUALITY NORTH CAROLINA,2012,NY,"JACOBS, RHODA S",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 042,250.00
EQUALITY NORTH CAROLINA,2012,NY,"MOYA, FRANCISCO P",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 039,250.00
EQUALITY NORTH CAROLINA,2012,NY,"SCHIMEL, MICHELLE",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 016,250.00
EQUALITY NORTH CAROLINA,2012,NY,"SWEENEY, ROBERT K",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 011,250.00
EQUALITY NORTH CAROLINA,2012,NY,"WEISENBERG, HARVEY",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 020,250.00
EQUALITY NORTH CAROLINA,2012,NY,"JAFFEE, ELLEN C",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 097,250.00
EQUALITY NORTH CAROLINA,2012,NY,"MAGNARELLI, WILLIAM",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 129,250.00
EQUALITY NORTH CAROLINA,2014,NY,"DINAPOLI, THOMAS P",Won-General,Standard,DEMOCRATIC,Incumbent,COMPTROLLER,250.00
EQUALITY NORTH CAROLINA,2014,NY,"SERRANO, JOSE M",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 029,250.00
EQUALITY NORTH CAROLINA,2014,NY,"ZOVE, JASON E",Lost-General,Standard,DEMOCRATIC,Challenger,ASSEMBLY DISTRICT 008,250.00
EQUALITY NORTH CAROLINA,2014,NY,"SOLAGES, MICHAELLE C",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 022,250.00
EQUALITY NORTH CAROLINA,2014,NY,"ROZIC, NILY D",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 025,250.00
EQUALITY NORTH CAROLINA,2014,NY,"SIMON, JO ANNE",Won-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 052,250.00
EQUALITY NORTH CAROLINA,2014,NY,"ROSENTHAL, LINDA B",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 067,250.00
EQUALITY NORTH CAROLINA,2014,NY,"SKOUFIS, JAMES G",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 099,250.00
EQUALITY NORTH CAROLINA,2014,NY,"LIFTON, BARBARA S",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 125,250.00
EQUALITY NORTH CAROLINA,2014,NY,"STIRPE JR, ALBERT A",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 127,250.00
EQUALITY NORTH CAROLINA,2016,NY,"PERALTA, JOSE R",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 013,250.00
EQUALITY NORTH CAROLINA,2016,NY,"HAMILTON, JESSE E",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 020,250.00
EQUALITY NORTH CAROLINA,2016,NY,"CARLUCCI, DAVID S",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 038,250.00
EQUALITY NORTH CAROLINA,2016,NY,"KENNEDY, TIMOTHY M",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 063,250.00
EQUALITY NORTH CAROLINA,2016,NY,"LUPINACCI, CHAD A",Won-General,Standard,REPUBLICAN,Incumbent,ASSEMBLY DISTRICT 010,250.00
EQUALITY NORTH CAROLINA,2016,NY,"WEPRIN, DAVID I",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 024,250.00
EQUALITY NORTH CAROLINA,2016,NY,"BICHOTTE, RODNEYSE",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 042,250.00
EQUALITY NORTH CAROLINA,2016,NY,"TITONE, MATTHEW J",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 061,250.00
EQUALITY NORTH CAROLINA,2016,NY,"ODONNELL, DANIEL J",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 069,250.00
EQUALITY NORTH CAROLINA,2016,NY,"SEAWRIGHT, REBECCA A",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 076,250.00
EQUALITY NORTH CAROLINA,2016,NY,"PICHARDO, VICTOR M",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 086,250.00
EQUALITY NORTH CAROLINA,2016,NY,"MORELLE, JOSEPH D (JOE)",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 136,250.00
EQUALITY NORTH CAROLINA,2017,NY-NYC,"VAN BRAMER, JAMES G",Won-General,Standard,DEMOCRATIC,Incumbent,CITY COUNCIL DISTRICT 026,250.00
EQUALITY NORTH CAROLINA,2002,NY,"MOORE, MICHAEL",Lost-General,Standard,DEMOCRATIC,Challenger,ASSEMBLY DISTRICT 019,200.00
EQUALITY NORTH CAROLINA,2002,NY,"CUTHBERTSON, MARK A",Lost-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 009,200.00
EQUALITY NORTH CAROLINA,2002,NY,"DELANEY, STEPHEN G",Lost-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 121,200.00
EQUALITY NORTH CAROLINA,2002,NY,"GLICK, DEBORAH J",Won-General,Standard,DEMOCRATIC,Incumbent,ASSEMBLY DISTRICT 066,200.00
EQUALITY NORTH CAROLINA,2002,NY,"HOFFMANN, NANCY LARRAINE",Won-General,Standard,REPUBLICAN,Incumbent,SENATE DISTRICT 049,200.00
EQUALITY NORTH CAROLINA,2002,NY,"RAMOS, PHILIP R",Won-General,Standard,DEMOCRATIC,Open,ASSEMBLY DISTRICT 006,200.00
EQUALITY NORTH CAROLINA,2002,NY,"SAYWARD, TERESA R",Won-General,Standard,REPUBLICAN,Open,ASSEMBLY DISTRICT 113,200.00
EQUALITY NORTH CAROLINA,2017,NY-NYC,"TORRES, RITCHIE",Won-General,Standard,DEMOCRATIC,Incumbent,CITY COUNCIL DISTRICT 015,175.00
EQUALITY NORTH CAROLINA,2017,NY-NYC,"DROMM, DANIEL",Default Winner-General,Standard,DEMOCRATIC,Incumbent,CITY COUNCIL DISTRICT 025,175.00
EQUALITY NORTH CAROLINA,2002,NY,"ALFANO, THOMAS W",Won-General,Standard,REPUBLICAN,Open,ASSEMBLY DISTRICT 021,150.00
EQUALITY NORTH CAROLINA,1998,NY,"WIRTH, SANDRA LEE",Won-General,Standard,REPUBLICAN,Challenger,ASSEMBLY DISTRICT 148,100.00
EQUALITY NORTH CAROLINA,2016,NY,"PARKER, KEVIN S",Won-General,Standard,DEMOCRATIC,Incumbent,SENATE DISTRICT 021,100.00
EQUALITY NORTH CAROLINA,2013,NY-NYC,"MENCHACA, CARLOS",Won-General,Standard,DEMOCRATIC,Open,CITY COUNCIL DISTRICT 038,-1500.00
EQUALITY NORTH CAROLINA,2018,TX,"JONES, GINA ORTIZ",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT TX 023,15000.00
EQUALITY NORTH CAROLINA,2018,CA,"BERA, AMI",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 007,10000.00
EQUALITY NORTH CAROLINA,2018,MA,"KEATING, WILLIAM RICHARD",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT MA 009,10000.00
EQUALITY NORTH CAROLINA,2018,NH,"KUSTER, ANN MCLANE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NH 002,10000.00
EQUALITY NORTH CAROLINA,2018,CA,"BROWNLEY, JULIA",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 026,10000.00
EQUALITY NORTH CAROLINA,2018,CA,"RUIZ, RAUL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 036,10000.00
EQUALITY NORTH CAROLINA,2018,CA,"PETERS, SCOTT",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 052,10000.00
EQUALITY NORTH CAROLINA,2018,IL,"BUSTOS, CHERI CALLAHAN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 017,10000.00
EQUALITY NORTH CAROLINA,2018,AZ,"OHALLERAN, TOM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 001,10000.00
EQUALITY NORTH CAROLINA,2018,CA,"CARBAJAL, SALUD",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 024,10000.00
EQUALITY NORTH CAROLINA,2018,FL,"MURPHY, STEPHANIE",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT FL 007,10000.00
EQUALITY NORTH CAROLINA,2018,FL,"CRIST JR, CHARLES JOSEPH (CHARLIE)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT FL 013,10000.00
EQUALITY NORTH CAROLINA,2018,IA,"LOEBSACK, DAVID WAYNE (DAVE)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IA 002,10000.00
EQUALITY NORTH CAROLINA,2018,MN,"CRAIG, ANGELA DAWN",Won-General,Standard,DEMOCRATIC-FARMER-LABOR,Challenger,US HOUSE DISTRICT MN 002,10000.00
EQUALITY NORTH CAROLINA,2018,NJ,"GOTTHEIMER, JOSHUA S",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NJ 005,10000.00
EQUALITY NORTH CAROLINA,2018,CA,"HILL, KATIE",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CA 025,10000.00
EQUALITY NORTH CAROLINA,2018,FL,"BAER, LAUREN",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT FL 018,10000.00
EQUALITY NORTH CAROLINA,2018,OH,"NEAL, RICK",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT OH 015,10000.00
EQUALITY NORTH CAROLINA,2018,WI,"BALDWIN, TAMMY SUZANNE GREEN",Won-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT WI SW-CLASS I,10000.00
EQUALITY NORTH CAROLINA,2018,AZ,"SINEMA, KYRSTEN",Won-General,Standard,DEMOCRATIC,Open,US SENATE DISTRICT AZ SW-CLASS I,10000.00
EQUALITY NORTH CAROLINA,2018,NH,"PAPPAS, CHRISTOPHER C (CHRIS)",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT NH 001,10000.00
EQUALITY NORTH CAROLINA,2018,PA,"CARTWRIGHT, MATTHEW ALTON",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT PA 008,10000.00
EQUALITY NORTH CAROLINA,2018,KS,"DAVIDS, SHARICE",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT KS 003,10000.00
EQUALITY NORTH CAROLINA,2019,NC,"MCCREADY, DANIEL KENT (DAN)",Lost-General,Special,DEMOCRATIC,Open,US HOUSE DISTRICT NC 009,10000.00
EQUALITY NORTH CAROLINA,2018,NY,"MALONEY, CAROLYN B",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 012,5000.00
EQUALITY NORTH CAROLINA,2018,AZ,"GALLEGO, RUBEN",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 007,5000.00
EQUALITY NORTH CAROLINA,2018,CA,"COSTA, JIM",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CA 016,5000.00
EQUALITY NORTH CAROLINA,2018,NY,"CLARKE, YVETTE D",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT NY 009,5000.00
EQUALITY NORTH CAROLINA,2018,FL,"SOTO, DARREN MICHAEL",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT FL 009,5000.00
EQUALITY NORTH CAROLINA,2018,MI,"DRISKELL, GRETCHEN D",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT MI 007,5000.00
EQUALITY NORTH CAROLINA,2018,AZ,"KIRKPATRICK, ANN",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT AZ 002,5000.00
EQUALITY NORTH CAROLINA,2018,CA,"MORSE, JESSICA",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CA 004,5000.00
EQUALITY NORTH CAROLINA,2018,CA,"HARDER, JOSH",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CA 010,5000.00
EQUALITY NORTH CAROLINA,2018,CA,"PORTER, KATIE",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CA 045,5000.00
EQUALITY NORTH CAROLINA,2018,CA,"ROUDA, HARLEY",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CA 048,5000.00
EQUALITY NORTH CAROLINA,2018,CA,"LEVIN, MIKE",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT CA 049,5000.00
EQUALITY NORTH CAROLINA,2018,CO,"CROW, JASON",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT CO 006,5000.00
EQUALITY NORTH CAROLINA,2018,FL,"SODERBERG, NANCY",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT FL 006,5000.00
EQUALITY NORTH CAROLINA,2018,FL,"SHAPIRO, DAVID",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT FL 016,5000.00
EQUALITY NORTH CAROLINA,2018,FL,"RICHARDSON, DAVID",Lost-Primary,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT FL 027,5000.00
EQUALITY NORTH CAROLINA,2018,GA,"BOURDEAUX, CAROLYN",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT GA 007,5000.00
COMMONWEALTH COALITION,2018,IA,"FINKENAUER, ABBY",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IA 001,5000.00
COMMONWEALTH COALITION,2018,IA,"AXNE, CINDY",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IA 003,5000.00
COMMONWEALTH COALITION,2018,IL,"CASTEN, SEAN",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IL 006,5000.00
COMMONWEALTH COALITION,2018,IL,"KELLY, BRENDAN",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IL 012,5000.00
COMMONWEALTH COALITION,2018,IL,"LONDRIGAN, BETSY DIRKSEN",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IL 013,5000.00
COMMONWEALTH COALITION,2018,IL,"UNDERWOOD, LAUREN A",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IL 014,5000.00
COMMONWEALTH COALITION,2018,IN,"HALL, MELVIN (MEL)",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IN 002,5000.00
COMMONWEALTH COALITION,2018,IN,"WATSON, LIZ",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT IN 009,5000.00
COMMONWEALTH COALITION,2018,KS,"DAVIS, PAUL T",Lost-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT KS 002,5000.00
COMMONWEALTH COALITION,2018,ME,"PINGREE, ROCHELLE M (CHELLIE)",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT ME 001,5000.00
COMMONWEALTH COALITION,2018,ME,"GOLDEN, JARED",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT ME 002,5000.00
COMMONWEALTH COALITION,2018,MI,"LONGJOHN, MATT",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT MI 006,5000.00
COMMONWEALTH COALITION,2018,MI,"SLOTKIN, ELISSA",Won-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT MI 008,5000.00
EQUALITY MICHIGAN,2018,MI,"STEVENS, HALEY",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT MI 011,5000.00
EQUALITY MICHIGAN,2018,MN,"FEEHAN, DANIEL",Lost-General,Standard,DEMOCRATIC-FARMER-LABOR,Open,US HOUSE DISTRICT MN 001,5000.00
EQUALITY MICHIGAN,2018,MT,"WILLIAMS, KATHLEEN",Lost-General,Standard,DEMOCRATIC,Challenger,US HOUSE DISTRICT MT 001,5000.00
