"","Interest.Group","Year","Total_Contributions","Party.Committee","Party_Committee_Contribution","Total_Party_Committee_Contribution_by_Year","Percent_Donated_to_Party_Committees"
"559","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"VERMONT DEMOCRATIC PARTY",2854.06,128207.23,0.0981916530022408
"560","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"NEW HAMPSHIRE DEMOCRATIC PARTY",2429.39,128207.23,0.0981916530022408
"561","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"MAINE DEMOCRATIC PARTY",1032.37,128207.23,0.0981916530022408
"562","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"MISSOURI DEMOCRATIC PARTY",799.57,128207.23,0.0981916530022408
"563","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"MISSISSIPPI DEMOCRATIC PARTY",500,128207.23,0.0981916530022408
"564","HUMAN RIGHTS CAMPAIGN",2018,1305683.59,"MICHIGAN DEMOCRATIC PARTY",150,128207.23,0.0981916530022408
"565","HUMAN RIGHTS CAMPAIGN",2017,177716.07,"VIRGINIA DEMOCRATIC PARTY",17514.42,62514.42,0.351765712577371
"566","HUMAN RIGHTS CAMPAIGN",2017,177716.07,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",15000,62514.42,0.351765712577371
"567","HUMAN RIGHTS CAMPAIGN",2017,177716.07,"DEMOCRATIC NATIONAL CMTE",15000,62514.42,0.351765712577371
"568","HUMAN RIGHTS CAMPAIGN",2017,177716.07,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",15000,62514.42,0.351765712577371
"569","HUMAN RIGHTS CAMPAIGN",2016,1029000.39,"NORTH CAROLINA DEMOCRATIC PARTY",22697.62,63826.47,0.0620276441294643
"570","HUMAN RIGHTS CAMPAIGN",2016,1029000.39,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",19000,63826.47,0.0620276441294643
"571","HUMAN RIGHTS CAMPAIGN",2016,1029000.39,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",15000,63826.47,0.0620276441294643
"572","HUMAN RIGHTS CAMPAIGN",2016,1029000.39,"ILLINOIS DEMOCRATIC PARTY",5000,63826.47,0.0620276441294643
"573","HUMAN RIGHTS CAMPAIGN",2016,1029000.39,"NEW HAMPSHIRE DEMOCRATIC PARTY",1500,63826.47,0.0620276441294643
"574","HUMAN RIGHTS CAMPAIGN",2016,1029000.39,"IOWA DEMOCRATIC PARTY",628.85,63826.47,0.0620276441294643
"575","HUMAN RIGHTS CAMPAIGN",2015,95499.45,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",29000,53734.21,0.562665125296533
"576","HUMAN RIGHTS CAMPAIGN",2015,95499.45,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",15000,53734.21,0.562665125296533
"577","HUMAN RIGHTS CAMPAIGN",2015,95499.45,"VIRGINIA DEMOCRATIC PARTY",9734.21,53734.21,0.562665125296533
"578","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",15000,69955.36,0.0684311840264371
"579","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"NEW HAMPSHIRE DEMOCRATIC PARTY",12982.08,69955.36,0.0684311840264371
"580","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"FLORIDA DEMOCRATIC PARTY",11191.31,69955.36,0.0684311840264371
"581","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"ILLINOIS DEMOCRATIC PARTY",10000,69955.36,0.0684311840264371
"582","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"ALASKA DEMOCRATIC PARTY",5000,69955.36,0.0684311840264371
"583","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"GEORGIA DEMOCRATIC PARTY",5000,69955.36,0.0684311840264371
"584","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",5000,69955.36,0.0684311840264371
"585","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"NEVADA SENATE DEMOCRATS",4531.97,69955.36,0.0684311840264371
"586","HUMAN RIGHTS CAMPAIGN",2014,1022273.12,"ARKANSAS DEMOCRATIC PARTY",1250,69955.36,0.0684311840264371
"587","HUMAN RIGHTS CAMPAIGN",2013,109212.12,"VIRGINIA DEMOCRATIC PARTY",58265.44,76765.44,0.702902205359625
"588","HUMAN RIGHTS CAMPAIGN",2013,109212.12,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",17500,76765.44,0.702902205359625
"589","HUMAN RIGHTS CAMPAIGN",2013,109212.12,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",1000,76765.44,0.702902205359625
"590","HUMAN RIGHTS CAMPAIGN",2012,6692525.21,"OHIO DEMOCRATIC PARTY",63625.97,93625.97,0.0139896327712152
"591","HUMAN RIGHTS CAMPAIGN",2012,6692525.21,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",15000,93625.97,0.0139896327712152
"592","HUMAN RIGHTS CAMPAIGN",2012,6692525.21,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",15000,93625.97,0.0139896327712152
"593","HUMAN RIGHTS CAMPAIGN",2011,153225,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",20000,35000,0.228422254853973
"594","HUMAN RIGHTS CAMPAIGN",2011,153225,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",15000,35000,0.228422254853973
"595","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"FLORIDA DEMOCRATIC PARTY",29402,105240.5,0.103373425018957
"596","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",19691,105240.5,0.103373425018957
"597","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",16000,105240.5,0.103373425018957
"598","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",15000,105240.5,0.103373425018957
"599","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",5647.5,105240.5,0.103373425018957
"600","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"CMTE TO ELECT HOUSE DEMOCRATS OF NEW HAMPSHIRE",5000,105240.5,0.103373425018957
"601","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"NEW HAMPSHIRE DEMOCRATIC SENATE CAUCUS",5000,105240.5,0.103373425018957
"602","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"ARIZONA DEMOCRATIC PARTY",5000,105240.5,0.103373425018957
"603","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA",2000,105240.5,0.103373425018957
"604","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"NEBRASKA DEMOCRATIC PARTY",1500,105240.5,0.103373425018957
"605","HUMAN RIGHTS CAMPAIGN",2010,1018061.46,"OHIO DEMOCRATIC PARTY",1000,105240.5,0.103373425018957
"606","HUMAN RIGHTS CAMPAIGN",2009,589449.15,"DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE",16000,31000,0.0525914745996326
"607","HUMAN RIGHTS CAMPAIGN",2009,589449.15,"US DEMOCRATIC SENATORIAL CAMPAIGN CMTE",15000,31000,0.0525914745996326
"608","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE",55125.66,162597.88,0.0345223115406794
"609","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"ARIZONA DEMOCRATIC PARTY",29520,162597.88,0.0345223115406794
"610","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"NEW HAMPSHIRE DEMOCRATIC SENATE CAUCUS",21000,162597.88,0.0345223115406794
"611","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",17500,162597.88,0.0345223115406794
"612","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"OHIO HOUSE OF REPRESENTATIVES DEMOCRATIC CAUCUS",16000,162597.88,0.0345223115406794
"613","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"NEW YORK STATE DEMOCRATIC PARTY",10000,162597.88,0.0345223115406794
"614","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"OHIO DEMOCRATIC PARTY",4587.43,162597.88,0.0345223115406794
"615","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"NEVADA DEMOCRATIC PARTY",3221.93,162597.88,0.0345223115406794
"616","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"NEW HAMPSHIRE DEMOCRATIC PARTY",2821.43,162597.88,0.0345223115406794
"617","HUMAN RIGHTS CAMPAIGN",2008,4709936.06,"NEW MEXICO DEMOCRATIC PARTY",2821.43,162597.88,0.0345223115406794
"618","HUMAN RIGHTS CAMPAIGN",2007,57532.76,"NEW HAMPSHIRE DEMOCRATIC SENATE CAUCUS",5000,5000,0.0869070074162964
"619","HUMAN RIGHTS CAMPAIGN",2006,440410.33,"NEW HAMPSHIRE DEMOCRATIC SENATE CAUCUS",27934.92,41934.92,0.095217839236423
"620","HUMAN RIGHTS CAMPAIGN",2006,440410.33,"NEW HAMPSHIRE DEMOCRATIC PARTY",5000,41934.92,0.095217839236423
"621","HUMAN RIGHTS CAMPAIGN",2006,440410.33,"NORTH DAKOTA DEMOCRATIC-NPL PARTY",5000,41934.92,0.095217839236423
"622","HUMAN RIGHTS CAMPAIGN",2006,440410.33,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",2000,41934.92,0.095217839236423
"623","HUMAN RIGHTS CAMPAIGN",2006,440410.33,"DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA",2000,41934.92,0.095217839236423
"624","HUMAN RIGHTS CAMPAIGN",2005,196842.88,"HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",150,300,0.00152405817269083
"625","HUMAN RIGHTS CAMPAIGN",2005,196842.88,"SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON",150,300,0.00152405817269083
"626","HUMAN RIGHTS CAMPAIGN",2004,1117654.27,"ARKANSAS DEMOCRATIC PARTY",5000,25000,0.0223682767301556
"627","HUMAN RIGHTS CAMPAIGN",2004,1117654.27,"FLORIDA DEMOCRATIC PARTY",5000,25000,0.0223682767301556
"628","HUMAN RIGHTS CAMPAIGN",2004,1117654.27,"NEVADA DEMOCRATIC PARTY",5000,25000,0.0223682767301556
"629","HUMAN RIGHTS CAMPAIGN",2004,1117654.27,"WASHINGTON STATE DEMOCRATIC PARTY",5000,25000,0.0223682767301556
"630","HUMAN RIGHTS CAMPAIGN",2004,1117654.27,"NORTH DAKOTA DEMOCRATIC-NPL PARTY",5000,25000,0.0223682767301556
"631","HUMAN RIGHTS CAMPAIGN",2002,18623.5,"ARKANSAS DEMOCRATIC PARTY",5000,12121.5,0.65087121110425
"632","HUMAN RIGHTS CAMPAIGN",2002,18623.5,"MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY",5000,12121.5,0.65087121110425
"633","HUMAN RIGHTS CAMPAIGN",2002,18623.5,"VERMONT DEMOCRATIC PARTY",1000,12121.5,0.65087121110425
"634","HUMAN RIGHTS CAMPAIGN",2002,18623.5,"NEVADA DEMOCRATIC PARTY",721.5,12121.5,0.65087121110425
"635","HUMAN RIGHTS CAMPAIGN",2002,18623.5,"TEXAS DEMOCRATIC PARTY",400,12121.5,0.65087121110425
"636","HUMAN RIGHTS CAMPAIGN",2001,4000,"VERMONT SENATE VICTORY",2000,4000,1
"637","HUMAN RIGHTS CAMPAIGN",2001,4000,"NEW YORK STATE DEMOCRATIC PARTY",1000,4000,1
"638","HUMAN RIGHTS CAMPAIGN",2001,4000,"VERMONT DEMOCRATIC PARTY",1000,4000,1
"639","HUMAN RIGHTS CAMPAIGN",2000,1000,"VERMONT DEMOCRATIC PARTY",1000,1000,1
"640","HUMAN RIGHTS CAMPAIGN",2000,1000,"VERMONT SENATE VICTORY",0,1000,1
"641","HUMAN RIGHTS CAMPAIGN",1999,5000,"VIRGINIA DEMOCRATIC PARTY",5000,5000,1
"642","HUMAN RIGHTS CAMPAIGN",1994,100,"0",0,0,0
"643","HUMAN RIGHTS CAMPAIGN DALLAS/FORT WORTH",2005,1000,"0",0,0,0
"644","HUMAN RIGHTS CAMPAIGN OHIO FAMILIES PAC",2008,1242.08,"0",0,0,0
"645","HUMAN RIGHTS LEAGUE",2010,1750,"0",0,0,0
"646","HUMAN RIGHTS LEAGUE",2009,6000,"ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN",3000,6000,1
"647","HUMAN RIGHTS LEAGUE",2009,6000,"STATE SENATE DEMOCRATIC CMTE OF WISCONSIN",3000,6000,1
"648","HUMAN RIGHTS LEAGUE",2006,8246.35,"0",0,0,0
"649","HUMAN RIGHTS LEAGUE",2005,1000,"0",0,0,0
"650","ILLINOIS FAIRNESS FUND",2014,2540.88,"0",0,0,0
"651","ILLINOIS FAIRNESS FUND",2010,87653.53,"ILLINOIS SENATE DEMOCRATIC VICTORY FUND",25000,25000,0.28521384135927
"652","INDIANA STONEWALL DEMOCRAT",2004,500,"0",0,0,0
"653","INDIANA STONEWALL DEMOCRATS",2018,2750,"INDIANA DEMOCRATIC PARTY",500,500,0.181818181818182
"654","INDIANA STONEWALL DEMOCRATS",2017,250,"INDIANA DEMOCRATIC PARTY",250,250,1
"655","INDIANA STONEWALL DEMOCRATS",2012,2250,"INDIANA DEMOCRATIC PARTY",250,250,0.111111111111111
"656","INDIANA STONEWALL DEMOCRATS",2011,875,"INDIANA DEMOCRATIC PARTY",875,875,1
"657","INDIANA STONEWALL DEMOCRATS",2010,14550,"INDIANA DEMOCRATIC PARTY",1250,1250,0.0859106529209622
"658","INDIANA STONEWALL DEMOCRATS",2008,1500,"0",0,0,0
"659","INDIANA STONEWALL DEMOCRATS",2006,500,"0",0,0,0
"660","INDIANA STONEWALL DEMOCRATS",2005,750,"INDIANA DEMOCRATIC PARTY",750,750,1
"661","INDIANA STONEWALL DEMOCRATS",2004,38350,"INDIANA HOUSE DEMOCRATIC CAUCUS",600,600,0.015645371577575
"662","INDIANA STONEWALL DEMOCRATS",2004,-2500,"INDIANA HOUSE DEMOCRATIC CAUCUS",600,600,-0.24
"663","INDIANA STONEWALL DEMOCRATS",2003,750,"INDIANA DEMOCRATIC PARTY",500,750,1
"664","INDIANA STONEWALL DEMOCRATS",2003,750,"INDIANA HOUSE DEMOCRATIC CAUCUS",250,750,1
"665","INDIANA STONEWALL DEMOCRATS",2002,1525,"INDIANA DEMOCRATIC PARTY",525,525,0.344262295081967
"666","INDIANA STONEWELL DEMOCRATS",2004,1000,"0",0,0,0
"667","INLAND EMPIRE LESBIAN & GAY DEMOCRATIC CLUB",2000,1350,"0",0,0,0
"668","JEFFCOUNTY DEMOCRATS GLBT CAUCUS",2008,400,"0",0,0,0
"669","JLS OPERATIONS",2011,500,"0",0,0,0
"670","JLS OPERATIONS",2010,44000,"IOWA DEMOCRATIC PARTY",25000,25000,0.568181818181818
"671","JOHNSON FAMILY FOUNDATION",2009,15000,"0",0,0,0
"672","JUNCTION CITY TEDDY BEARS/JCTB",2005,100,"0",0,0,0
"673","KANAWHA STONEWALL DEMOCRATS",2008,650,"WEST VIRGINIA DEMOCRATIC PARTY",650,650,1
"674","KANSANS FOR FAIRNESS",2005,500,"0",0,0,0
"675","KANSAS CITY PRIDE DEMOCRATIC CLUB",2014,250,"0",0,0,0
"676","KANSAS CITY PRIDE DEMOCRATIC CLUB",2008,325,"0",0,0,0
"677","KANSAS DEMOCRATIC CAUCUS LGBT",2016,500,"0",0,0,0
"678","KANSAS DEMOCRATIC CAUCUS LGBT",2014,500,"0",0,0,0
"679","KANSAS DEMOCRATIC CAUCUS LGBT",2012,600,"0",0,0,0
"680","KANSAS DEMOCRATIC LBGT CAUCUS",2009,150,"KANSAS DEMOCRATIC PARTY",150,150,1
"681","KANSAS DEMOCRATIC LBGT CAUCUS",2008,250,"0",0,0,0
"682","KANSAS DEMOCRATIC LBGT CAUCUS",2007,150,"KANSAS DEMOCRATIC PARTY",150,150,1
"683","KANSAS EQUALITY COALITION",2012,500,"0",0,0,0
"684","KANSAS EQUALITY COALITION",2010,500,"0",0,0,0
"685","KENTUCKY FAIRNESS ALLIANCE ACTION",2004,6000,"0",0,0,0
"686","KENTUCKY FAIRNESS ALLIANCE ACTION FUND",2004,8000,"0",0,0,0
"687","KEVIN J MOSSIER FOUNDATION",2012,52500,"0",0,0,0
"688","LAGPAC",2001,250,"LOUISIANA DEMOCRATIC PARTY",250,250,1
"689","LAGPAC",1999,5450,"0",0,0,0
"690","LAKE COUNTY STONEWALL DEMOCRATIC CLUB",2008,281,"0",0,0,0
"691","LAMBDA DEMOCRATS OF KEY WEST",2004,510,"0",0,0,0
"692","LAMBDA DEMOCRATS OF KEY WEST",2002,1500,"0",0,0,0
"693","LAMBDA DEMOCRATS OF KEY WEST",2000,500,"0",0,0,0
"694","LAMBDA LEGAL",2018,25000,"0",0,0,0
"695","LAMDA DEMOCRATS OF KEY WEST",2006,500,"0",0,0,0
"696","LANSING ASSOCIATION FOR HUMAN RIGHTS",2018,300,"0",0,0,0
"697","LANSING ASSOCIATION FOR HUMAN RIGHTS",2016,75,"0",0,0,0
"698","LANSING ASSOCIATION FOR HUMAN RIGHTS",2014,553,"0",0,0,0
"699","LANSING ASSOCIATION FOR HUMAN RIGHTS",2010,850,"0",0,0,0
"700","LANSING ASSOCIATION FOR HUMAN RIGHTS",2004,2000,"0",0,0,0
"701","LEAGUE@NCR",2004,1000,"0",0,0,0
"702","LEGAL MARRIAGE ALLIANCE",2006,500,"0",0,0,0
"703","LESBIAN / GAY RIGHTS LOBBY OF TEXAS CALKIN FUND",2005,29000,"0",0,0,0
"704","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2011,618,"0",0,0,0
"705","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2008,300,"0",0,0,0
"706","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2006,200,"0",0,0,0
"707","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2004,250,"0",0,0,0
"708","LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS",2002,100,"0",0,0,0
"709","LESBIAN COMMUNITY PROJECT OF MID-MISSOURI",2004,2187,"0",0,0,0
"710","LESBIAN EQUITY FOUNDATION",2008,50000,"0",0,0,0
"711","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2018,167086.51,"0",0,0,0
"712","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2017,28400,"0",0,0,0
"713","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2016,89600,"0",0,0,0
"714","LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND",2014,12300,"0",0,0,0
"715","LESBIAN POLITICAL ACTION CMTE",2014,25000,"0",0,0,0
"716","LESBIAN-GAY ALLIANCE",2005,25,"0",0,0,0
"717","LGBT MENTORING PROJECT",2009,32875,"0",0,0,0
"718","LGBT POLITICAL CAUCUS OF SO OREGON",2004,260,"0",0,0,0
"719","LOG CABIN CLUB OF EASTERN MASSACHUSETTS",2002,250,"0",0,0,0
"720","LOG CABIN CLUB ORANGE COUNTY",2012,150,"0",0,0,0
"721","LOG CABIN CLUB ORANGE COUNTY",2006,0,"0",0,0,NA
"722","LOG CABIN CLUB ORANGE COUNTY",1999,45,"0",0,0,0
"723","LOG CABIN REPUBLICAN CLUB",2006,100,"0",0,0,0
"724","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2006,200,"0",0,0,0
"725","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2002,1250,"0",0,0,0
"726","LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA",2000,150,"0",0,0,0
"727","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2011,300,"0",0,0,0
"728","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2009,750,"0",0,0,0
"729","LOG CABIN REPUBLICAN CLUB OF VIRGINIA",2007,1450,"0",0,0,0
"730","LOG CABIN REPUBLICAN PAC FREEDOM & UNITY CMTE/LCR PAC",2000,1000,"0",0,0,0
"731","LOG CABIN REPUBLICANS",2018,4250,"0",0,0,0
"732","LOG CABIN REPUBLICANS",2016,10950,"0",0,0,0
"733","LOG CABIN REPUBLICANS",2014,15625,"0",0,0,0
"734","LOG CABIN REPUBLICANS",2013,1000,"0",0,0,0
"735","LOG CABIN REPUBLICANS",2012,26400,"0",0,0,0
"736","LOG CABIN REPUBLICANS",2011,5500,"0",0,0,0
"737","LOG CABIN REPUBLICANS",2010,17750,"0",0,0,0
"738","LOG CABIN REPUBLICANS",2009,3250,"0",0,0,0
"739","LOG CABIN REPUBLICANS",2008,2000,"0",0,0,0
"740","LOG CABIN REPUBLICANS",2006,2050,"0",0,0,0
"741","LOG CABIN REPUBLICANS",2005,250,"0",0,0,0
"742","LOG CABIN REPUBLICANS",2004,40000,"0",0,0,0
"743","LOG CABIN REPUBLICANS",2002,500,"0",0,0,0
"744","LOG CABIN REPUBLICANS",2001,250,"0",0,0,0
"745","LOG CABIN REPUBLICANS AGAINST 8",2008,1000,"0",0,0,0
"746","LOG CABIN REPUBLICANS HUDSON VALLEY",2008,1420,"0",0,0,0
"747","LOG CABIN REPUBLICANS HUDSON VALLEY",2006,1100,"0",0,0,0
"748","LOG CABIN REPUBLICANS NEW YORK",2014,425,"0",0,0,0
"749","LOG CABIN REPUBLICANS NEW YORK",2012,7950,"0",0,0,0
"750","LOG CABIN REPUBLICANS NEW YORK",2010,7400,"0",0,0,0
"751","LOG CABIN REPUBLICANS NEW YORK",2008,46500,"0",0,0,0
"752","LOG CABIN REPUBLICANS NEW YORK",2006,41690,"0",0,0,0
"753","LOG CABIN REPUBLICANS NEW YORK",2004,1500,"0",0,0,0
"754","LOG CABIN REPUBLICANS NEW YORK",2002,500,"0",0,0,0
"755","LOG CABIN REPUBLICANS OF CALIFORNIA",2013,300,"0",0,0,0
"756","LOG CABIN REPUBLICANS OF CALIFORNIA",2008,2450,"0",0,0,0
"757","LOG CABIN REPUBLICANS OF CALIFORNIA",2006,22306.52,"0",0,0,0
"758","LOG CABIN REPUBLICANS OF CALIFORNIA",2004,3818.29,"0",0,0,0
"759","LOG CABIN REPUBLICANS OF CALIFORNIA",2003,1125,"0",0,0,0
"760","LOG CABIN REPUBLICANS OF CALIFORNIA",2002,4935.53,"0",0,0,0
"761","LOG CABIN REPUBLICANS OF MAIMI DADE",2016,100,"0",0,0,0
"762","LOG CABIN REPUBLICANS OF MAIMI DADE",2014,100,"0",0,0,0
"763","LOG CABIN REPUBLICANS OF MAIMI DADE",2012,300,"0",0,0,0
"764","LOG CABIN REPUBLICANS OF NEW HAMPSHIRE",2018,10550,"0",0,0,0
"765","LOG CABIN REPUBLICANS OF NW OHIO",2006,2600,"0",0,0,0
"766","LOG CABIN REPUBLICANS OF ORLANDO",2008,50,"0",0,0,0
"767","LOG CABIN REPUBLICANS OF TAMPA BAY",2002,500,"0",0,0,0
"768","LOG CABIN REPUBLICANS OF VIRGINIA",2005,4250,"0",0,0,0
"769","LOG CABIN REPUBLICANS OF WASHINGTON",2004,100,"0",0,0,0
"770","LOG CABIN REPUBLICANS OF WISCONSIN",2006,1100,"0",0,0,0
"771","LOG CABIN REPUBLICANS OF WISCONSIN",1998,200,"0",0,0,0
"772","LOG CABIN REPUBLICANS PARTY OF BROWARD COUNTY",2002,442,"0",0,0,0
"773","LONG BEACH LAMBDA DEMOCRATIC CLUB",2008,2000,"0",0,0,0
"774","LONG, GANNON",2009,65,"0",0,0,0
"775","LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER",2012,172896.8,"0",0,0,0
"776","LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER",2008,375397.28,"0",0,0,0
"777","LOUISIANA LESBIAN & GAY PAC LAGPAC",1999,500,"0",0,0,0
"778","LOVE MAKES A FAMILY",2009,11077.84,"0",0,0,0
"779","LOVE MAKES A FAMILY",2008,21548.8,"0",0,0,0
"780","LOVE MAKES A FAMILY",2006,14250,"SENATE DEMOCRATS VICTORY PAC OF CONNECTICUT",2000,2000,0.140350877192982
"781","LOVE MAKES A FAMILY",2005,250,"CONNECTICUT DEMOCRATIC PARTY",250,250,1
"782","LOVE MAKES A FAMILY",2004,24250,"0",0,0,0
"783","LOVE MAKES A FAMILY",2002,3400,"0",0,0,0
"784","LOVE MAKES A FAMILY PAC",2004,1450,"0",0,0,0
"785","LOVE MAKES A FAMILY PAC",2002,300,"0",0,0,0
"786","LPAC",2019,7000,"0",0,0,0
"787","LPAC",2018,56600,"0",0,0,0
"788","LPAC",2017,6000,"0",0,0,0
"789","LPAC",2016,230900,"0",0,0,0
"790","LPAC",2015,1000,"0",0,0,0
"791","LPAC",2014,181000,"0",0,0,0
"792","LPAC",2013,3400,"0",0,0,0
"793","LPAC",2012,314500,"0",0,0,0
"794","MAINE COALITION FOR EQUAL RIGHTS",2000,12550,"MAINE DEMOCRATIC PARTY",12550,12550,1
"795","MAINE LESBIAN GAY POLITICAL ALLIANCE",2002,100,"0",0,0,0
"796","MAINE WONT DISCRIMINATE",2006,500,"0",0,0,0
"797","MAINERS UNITED FOR MARRIAGE",2012,46977,"0",0,0,0
"798","MARRIAGE EQUALITY RHODE ISLAND",2012,50,"0",0,0,0
"799","MARRIAGE EQUALITY RHODE ISLAND",2010,250,"0",0,0,0
"800","MARRIAGE EQUALITY USA",2012,6657.81,"0",0,0,0
"801","MARYLAND FOR ALL FAMILIES",2012,1787.5,"0",0,0,0
"802","MARYLANDERS FOR MARRIAGE EQUALITY",2012,291687.2,"0",0,0,0
"803","MASSEQUALITY",2018,1525,"0",0,0,0
"804","MASSEQUALITY",2016,7050.61,"0",0,0,0
"805","MASSEQUALITY",2014,12094.29,"MASSACHUSETTS DEMOCRATIC PARTY",4250,4250,0.351405497966396
"806","MASSEQUALITY",2013,200,"CMTE FOR A DEMOCRATIC HOUSE OF MASSACHUSETTS",200,200,1
"807","MASSEQUALITY",2012,12772.22,"MASSACHUSETTS DEMOCRATIC PARTY",250,450,0.0352327160039523
"808","MASSEQUALITY",2012,12772.22,"CMTE FOR A DEMOCRATIC HOUSE OF MASSACHUSETTS",200,450,0.0352327160039523
"809","MASSEQUALITY",2011,6634.14,"MASSACHUSETTS DEMOCRATIC PARTY",5000,5200,0.78382427865556
"810","MASSEQUALITY",2011,6634.14,"CMTE FOR A DEMOCRATIC HOUSE OF MASSACHUSETTS",200,5200,0.78382427865556
"811","MASSEQUALITY",2010,5733.86,"0",0,0,0
"812","MASSEQUALITY",2009,14959,"0",0,0,0
"813","MASSEQUALITY",2008,11023.3,"CMTE FOR A DEMOCRATIC SENATE OF MASSACHUSETTS",500,700,0.0635018551613401
"814","MASSEQUALITY",2008,11023.3,"MASSACHUSETTS DEMOCRATIC PARTY",200,700,0.0635018551613401
"815","MASSEQUALITY",2006,3737.21,"MASSACHUSETTS DEMOCRATIC PARTY",1100,1100,0.294337219476561
"816","MASSEQUALITY",2005,207.01,"0",0,0,0
"817","MASSEQUALITY",2004,2412.97,"0",0,0,0
"818","ME WONT DISCRIMINATE",1998,4850,"0",0,0,0
"819","ME WONT DISCRIMINATE",1998,250,"0",0,0,0
"820","MI PRIDE PAC",1998,250,"0",0,0,0
